Referencia,Tipo,Operacion,Provincia,Superficie,Precio-Venta,Fecha-Venta,Vendedor
408,Industrial,Alquiler,Barcelona,74,729788,22/01/2005,Pedro
409,Parking,Venta,Girona,293,1750089,05/04/2005,Luisa
410,Piso,Alquiler,Lleida,46,435252,30/10/2004,Luisa
411,Local,Venta,Girona,90,742770,27/11/2004,Luisa
412,Local,Venta,Girona,148,1268952,14/10/2004,Maria
413,Piso,Alquiler,Tarragona,189,1527498,14/05/2005,Luisa
414,Suelo,Venta,Lleida,56,425432,23/09/2004,Luisa
415,Parking,Venta,Barcelona,46,386584,17/12/2004,Carmen
416,Oficina,Alquiler,Lleida,201,1287807,11/09/2004,Carmen
417,Suelo,Venta,Barcelona,254,1381506,14/04/2005,Luisa
418,Industrial,Alquiler,Girona,287,2452989,26/01/2005,Joaquin
419,Parking,Venta,Girona,174,952302,06/12/2004,Luisa
420,Piso,Alquiler,Lleida,114,1019160,29/05/2005,Carmen
421,Suelo,Venta,Barcelona,135,1209735,05/05/2005,Pedro
422,Piso,Alquiler,Barcelona,126,637308,09/11/2004,Jesus
423,Local,Alquiler,Barcelona,260,1090180,16/12/2004,Luisa
424,Parking,Venta,Barcelona,261,1945755,06/11/2004,Jesus
425,Casa,Venta,Girona,173,1117753,11/12/2004,Maria
426,Oficina,Alquiler,Lleida,207,1042659,12/10/2004,Jesus
427,Piso,Venta,Barcelona,81,583362,04/05/2005,Carmen
428,Piso,Alquiler,Lleida,52,338364,04/01/2005,Carmen
429,Parking,Alquiler,Tarragona,271,2190493,02/11/2004,Jesus
430,Oficina,Venta,Tarragona,249,1388175,29/10/2004,Luisa
431,Suelo,Alquiler,Tarragona,153,1116441,19/12/2004,Jesus
432,Oficina,Alquiler,Lleida,205,1980300,01/01/2005,Joaquin
433,Suelo,Venta,Tarragona,144,852480,04/06/2005,Carmen
434,Local,Alquiler,Tarragona,246,1898628,15/12/2004,Joaquin
435,Industrial,Alquiler,Girona,233,1541528,03/02/2005,Jesus
436,Suelo,Venta,Tarragona,105,783195,20/11/2004,Carmen
437,Parking,Venta,Girona,107,909821,03/05/2005,Luisa
438,Oficina,Venta,Barcelona,158,1543344,26/12/2004,Luisa
439,Oficina,Alquiler,Girona,298,2524358,23/10/2004,Luisa
440,Parking,Venta,Barcelona,115,1077665,19/09/2004,Jesus
441,Parking,Venta,Barcelona,102,790602,09/11/2004,Carmen
442,Parking,Venta,Tarragona,211,872063,26/02/2005,Pedro
443,Piso,Alquiler,Girona,245,1001070,14/10/2004,Jesus
444,Parking,Venta,Barcelona,102,1005312,09/06/2005,Luisa
445,Local,Alquiler,Girona,44,189156,25/11/2004,Jesus
446,Casa,Alquiler,Tarragona,57,419178,18/03/2005,Jesus
447,Parking,Alquiler,Lleida,263,1779458,24/01/2005,Pedro
448,Local,Alquiler,Girona,234,1159470,02/10/2004,Pedro
449,Local,Venta,Girona,118,788948,08/04/2005,Pedro
450,Industrial,Alquiler,Lleida,248,1674744,01/05/2005,Luisa
451,Oficina,Venta,Barcelona,54,406998,25/04/2005,Joaquin
452,Suelo,Venta,Lleida,215,2097970,13/11/2004,Pedro
453,Suelo,Venta,Girona,185,1616900,08/04/2005,Jesus
454,Oficina,Alquiler,Barcelona,72,458568,06/10/2004,Luisa
455,Parking,Alquiler,Barcelona,244,2439512,02/01/2005,Carmen
456,Piso,Venta,Lleida,195,1797120,31/12/2004,Maria
457,Suelo,Alquiler,Lleida,104,511680,05/06/2005,Luisa
458,Piso,Alquiler,Barcelona,71,587880,03/10/2004,Jesus
459,Oficina,Venta,Girona,107,590426,03/11/2004,Maria
460,Oficina,Alquiler,Barcelona,77,322322,12/03/2005,Joaquin
461,Casa,Venta,Girona,90,412740,26/09/2004,Maria
462,Oficina,Alquiler,Lleida,204,924732,28/04/2005,Maria
463,Casa,Venta,Girona,214,1962380,01/06/2005,Pedro
464,Casa,Alquiler,Girona,143,836836,15/06/2005,Luisa
465,Industrial,Alquiler,Lleida,268,2628812,15/03/2005,Pedro
466,Local,Alquiler,Tarragona,44,242704,03/10/2004,Joaquin
467,Local,Venta,Girona,126,520758,16/06/2005,Pedro
468,Local,Venta,Tarragona,215,870105,02/04/2005,Jesus
469,Casa,Alquiler,Barcelona,65,546780,13/12/2004,Pedro
470,Parking,Venta,Tarragona,191,875544,01/11/2004,Jesus
471,Casa,Venta,Lleida,155,801350,14/01/2005,Pedro
472,Suelo,Venta,Tarragona,297,1820016,08/01/2005,Maria
473,Parking,Alquiler,Lleida,105,872760,26/03/2005,Carmen
474,Suelo,Venta,Girona,199,1622646,23/06/2005,Jesus
475,Suelo,Alquiler,Tarragona,136,568480,03/12/2004,Pedro
476,Oficina,Alquiler,Lleida,88,851488,25/05/2005,Carmen
477,Suelo,Alquiler,Lleida,86,855442,20/10/2004,Jesus
478,Suelo,Alquiler,Lleida,189,913248,13/05/2005,Luisa
479,Oficina,Venta,Girona,232,1028224,26/05/2005,Luisa
480,Suelo,Venta,Lleida,58,530816,07/10/2004,Luisa
481,Oficina,Alquiler,Barcelona,257,1166780,10/01/2005,Jesus
482,Industrial,Venta,Tarragona,243,1983123,16/06/2005,Maria
483,Oficina,Venta,Lleida,134,946710,04/01/2005,Carmen
484,Casa,Venta,Girona,153,1506438,03/12/2004,Luisa
485,Piso,Alquiler,Tarragona,122,1093608,27/02/2005,Luisa
486,Piso,Venta,Girona,283,2199476,04/06/2005,Luisa
487,Casa,Venta,Lleida,261,2475063,21/01/2005,Carmen
488,Piso,Alquiler,Lleida,185,1306840,17/05/2005,Carmen
489,Casa,Venta,Tarragona,60,253920,30/01/2005,Luisa
490,Parking,Alquiler,Barcelona,234,1911312,08/04/2005,Luisa
491,Piso,Alquiler,Girona,62,358670,04/06/2005,Luisa
492,Local,Venta,Lleida,282,1298328,10/03/2005,Jesus
493,Parking,Alquiler,Lleida,299,1948583,21/12/2004,Maria
494,Piso,Venta,Barcelona,274,1729762,03/07/2005,Luisa
495,Oficina,Venta,Barcelona,268,2578696,28/06/2005,Luisa
496,Piso,Alquiler,Lleida,155,1166065,07/12/2004,Jesus
497,Oficina,Venta,Girona,209,1316073,02/04/2005,Pedro
498,Suelo,Alquiler,Tarragona,110,1004740,03/07/2005,Luisa
499,Casa,Venta,Barcelona,61,531432,22/05/2005,Joaquin
500,Industrial,Alquiler,Lleida,240,2238000,06/05/2005,Pedro
501,Casa,Venta,Lleida,229,965006,02/02/2005,Pedro
502,Piso,Alquiler,Lleida,224,2087904,29/01/2005,Jesus
503,Piso,Venta,Barcelona,72,647352,07/06/2005,Maria
504,Oficina,Venta,Lleida,186,1216254,09/04/2005,Maria
505,Industrial,Venta,Tarragona,172,860172,16/05/2005,Luisa
506,Industrial,Alquiler,Tarragona,235,1207195,14/10/2004,Luisa
507,Industrial,Alquiler,Tarragona,159,1032546,07/11/2004,Carmen
508,Local,Venta,Barcelona,271,2297538,22/11/2004,Jesus
509,Parking,Venta,Tarragona,80,428240,01/02/2005,Pedro
510,Industrial,Alquiler,Barcelona,227,1175860,05/07/2005,Joaquin
511,Industrial,Venta,Lleida,40,258560,22/03/2005,Jesus
512,Parking,Alquiler,Tarragona,239,1782940,13/11/2004,Joaquin
513,Casa,Alquiler,Barcelona,191,1841622,21/01/2005,Jesus
514,Casa,Venta,Tarragona,76,741228,28/12/2004,Luisa
515,Oficina,Alquiler,Barcelona,47,262777,22/12/2004,Carmen
516,Oficina,Alquiler,Barcelona,119,720902,23/06/2005,Carmen
517,Industrial,Venta,Girona,174,1313526,16/01/2005,Pedro
518,Casa,Venta,Girona,108,638064,24/10/2004,Luisa
519,Piso,Alquiler,Barcelona,123,682773,30/01/2005,Luisa
520,Suelo,Alquiler,Lleida,42,279342,24/01/2005,Maria
521,Parking,Venta,Barcelona,105,740355,08/12/2004,Luisa
522,Casa,Venta,Lleida,223,1293400,03/03/2005,Carmen
523,Suelo,Alquiler,Girona,270,1429380,25/03/2005,Carmen
524,Piso,Alquiler,Barcelona,159,1536576,24/06/2005,Pedro
525,Parking,Venta,Lleida,280,1249360,09/01/2005,Pedro
526,Parking,Venta,Girona,162,1594404,07/03/2005,Maria
527,Industrial,Alquiler,Barcelona,231,935781,13/11/2004,Joaquin
528,Casa,Alquiler,Lleida,231,2273040,04/02/2005,Joaquin
529,Industrial,Alquiler,Lleida,206,1414602,14/06/2005,Carmen
530,Local,Venta,Lleida,86,446856,12/06/2005,Maria
531,Industrial,Alquiler,Barcelona,112,712768,14/06/2005,Carmen
532,Local,Alquiler,Lleida,182,999726,20/02/2005,Carmen
533,Parking,Venta,Tarragona,72,606024,12/04/2005,Carmen
534,Oficina,Venta,Girona,62,410316,27/12/2004,Luisa
535,Industrial,Alquiler,Lleida,280,1730680,07/05/2005,Carmen
536,Casa,Venta,Girona,197,1292123,30/06/2005,Joaquin
537,Local,Alquiler,Girona,117,1031121,30/04/2005,Luisa
538,Industrial,Alquiler,Girona,279,2161134,09/03/2005,Maria
539,Parking,Alquiler,Barcelona,111,761793,11/07/2005,Maria
540,Parking,Alquiler,Tarragona,87,565587,25/01/2005,Joaquin
541,Casa,Alquiler,Girona,62,251596,20/06/2005,Jesus
542,Oficina,Venta,Barcelona,182,1514968,24/10/2004,Maria
543,Industrial,Venta,Tarragona,101,564186,21/01/2005,Pedro
544,Oficina,Venta,Tarragona,79,694331,10/03/2005,Carmen
545,Local,Venta,Lleida,82,419348,12/03/2005,Jesus
546,Industrial,Venta,Lleida,65,628095,08/03/2005,Maria
547,Casa,Alquiler,Girona,200,1000000,13/12/2004,Jesus
548,Parking,Venta,Barcelona,286,2330042,21/10/2004,Carmen
549,Local,Venta,Girona,237,1403988,27/06/2005,Carmen
550,Casa,Alquiler,Lleida,275,1711325,27/04/2005,Luisa
551,Piso,Alquiler,Girona,237,2215002,31/10/2004,Pedro
552,Local,Venta,Barcelona,125,804625,26/06/2005,Carmen
553,Oficina,Venta,Barcelona,209,1568754,15/12/2004,Pedro
554,Parking,Venta,Barcelona,141,867009,21/11/2004,Joaquin
555,Piso,Venta,Girona,138,1289748,25/12/2004,Luisa
556,Suelo,Venta,Lleida,57,567492,08/02/2005,Carmen
557,Piso,Alquiler,Girona,198,1916442,14/04/2005,Joaquin
558,Piso,Alquiler,Girona,246,1875012,08/03/2005,Luisa
559,Local,Alquiler,Tarragona,188,1590104,26/10/2004,Pedro
560,Industrial,Alquiler,Tarragona,285,1412175,01/12/2004,Pedro
561,Parking,Alquiler,Lleida,53,280741,01/07/2005,Jesus
562,Piso,Alquiler,Girona,161,960526,21/06/2005,Joaquin
563,Piso,Venta,Barcelona,237,1272216,27/04/2005,Jesus
564,Casa,Alquiler,Lleida,112,513968,30/04/2005,Jesus
565,Suelo,Venta,Barcelona,147,917868,15/11/2004,Joaquin
566,Local,Alquiler,Girona,266,1881950,15/01/2005,Maria
567,Local,Venta,Barcelona,98,469910,08/01/2005,Joaquin
568,Local,Venta,Lleida,153,639999,11/05/2005,Luisa
569,Local,Alquiler,Tarragona,167,700398,07/03/2005,Luisa
570,Suelo,Alquiler,Lleida,79,659808,23/01/2005,Pedro
571,Industrial,Alquiler,Tarragona,44,322036,20/12/2004,Jesus
572,Local,Alquiler,Tarragona,235,1897155,01/07/2005,Carmen
573,Parking,Venta,Tarragona,243,1038825,14/12/2004,Jesus
574,Local,Alquiler,Lleida,58,251430,30/05/2005,Carmen
575,Parking,Alquiler,Barcelona,280,1877400,21/04/2005,Joaquin
576,Casa,Venta,Barcelona,54,435348,20/02/2005,Pedro
577,Oficina,Venta,Barcelona,154,889658,22/06/2005,Joaquin
578,Oficina,Venta,Girona,221,1571973,25/12/2004,Joaquin
579,Industrial,Venta,Girona,148,811780,17/04/2005,Luisa
580,Parking,Venta,Tarragona,226,1634884,20/07/2005,Maria
581,Casa,Venta,Tarragona,230,1742020,16/11/2004,Jesus
582,Industrial,Venta,Lleida,290,2584480,22/11/2004,Jesus
583,Local,Venta,Tarragona,297,1767744,23/03/2005,Pedro
584,Casa,Alquiler,Girona,257,1077601,07/02/2005,Luisa
585,Parking,Alquiler,Girona,161,1050203,04/02/2005,Joaquin
586,Oficina,Alquiler,Lleida,77,613921,23/03/2005,Maria
587,Piso,Alquiler,Barcelona,184,1286344,02/07/2005,Joaquin
588,Local,Alquiler,Tarragona,56,469168,08/03/2005,Pedro
589,Oficina,Venta,Tarragona,138,1372686,17/06/2005,Carmen
590,Suelo,Venta,Tarragona,95,627570,16/03/2005,Carmen
591,Suelo,Alquiler,Girona,46,435712,31/03/2005,Luisa
592,Parking,Alquiler,Girona,145,999630,01/05/2005,Pedro
593,Suelo,Venta,Tarragona,213,1234974,23/06/2005,Carmen
594,Industrial,Alquiler,Tarragona,171,1148436,29/06/2005,Pedro
595,Industrial,Venta,Barcelona,262,1343798,15/04/2005,Jesus
596,Parking,Venta,Lleida,62,358360,23/07/2005,Luisa
597,Casa,Venta,Lleida,71,323760,15/03/2005,Maria
598,Casa,Venta,Lleida,94,735456,02/05/2005,Maria
599,Local,Alquiler,Lleida,76,738568,22/03/2005,Joaquin
600,Oficina,Alquiler,Barcelona,289,1275646,29/01/2005,Pedro
601,Casa,Alquiler,Girona,147,919632,23/06/2005,Luisa
602,Industrial,Venta,Girona,227,1218763,27/07/2005,Joaquin
603,Casa,Alquiler,Barcelona,174,1408182,23/05/2005,Jesus
604,Local,Alquiler,Lleida,149,704323,03/08/2005,Luisa
605,Piso,Alquiler,Lleida,212,1817264,25/06/2005,Maria
606,Parking,Alquiler,Lleida,45,360765,05/03/2005,Maria
607,Parking,Venta,Barcelona,49,418019,22/02/2005,Pedro
608,Suelo,Venta,Lleida,210,1117620,12/05/2005,Carmen
609,Suelo,Venta,Lleida,287,1790880,18/11/2004,Pedro
610,Local,Venta,Barcelona,127,1058545,23/01/2005,Joaquin
611,Casa,Venta,Barcelona,294,2658936,21/06/2005,Luisa
612,Casa,Alquiler,Girona,92,879244,06/05/2005,Joaquin
613,Industrial,Venta,Barcelona,225,1879200,19/11/2004,Pedro
614,Casa,Alquiler,Barcelona,241,1085705,28/01/2005,Pedro
615,Local,Venta,Lleida,283,1992320,07/04/2005,Maria
616,Piso,Alquiler,Barcelona,231,1237929,13/04/2005,Luisa
617,Piso,Venta,Lleida,172,1283980,27/01/2005,Carmen
618,Oficina,Alquiler,Lleida,78,391560,20/01/2005,Pedro
619,Suelo,Alquiler,Barcelona,93,705963,30/03/2005,Pedro
620,Suelo,Alquiler,Barcelona,58,406290,04/07/2005,Carmen
621,Industrial,Venta,Tarragona,223,2171128,23/03/2005,Carmen
622,Piso,Venta,Barcelona,123,1116348,29/06/2005,Luisa
623,Local,Venta,Tarragona,72,577656,30/07/2005,Maria
624,Industrial,Venta,Tarragona,154,1122352,11/05/2005,Jesus
625,Industrial,Alquiler,Girona,222,2171826,12/01/2005,Carmen
626,Piso,Alquiler,Tarragona,263,2061131,28/07/2005,Joaquin
627,Parking,Alquiler,Lleida,86,494758,04/03/2005,Maria
628,Casa,Alquiler,Tarragona,212,1360828,24/04/2005,Jesus
629,Piso,Venta,Girona,249,1427019,04/12/2004,Jesus
630,Parking,Alquiler,Girona,170,1567060,19/02/2005,Maria
631,Parking,Alquiler,Barcelona,272,1972816,14/08/2005,Carmen
632,Piso,Venta,Girona,201,1816437,10/05/2005,Pedro
633,Parking,Alquiler,Girona,167,1191044,11/01/2005,Luisa
634,Piso,Alquiler,Tarragona,283,2576432,13/05/2005,Maria
635,Local,Alquiler,Girona,197,981651,17/01/2005,Jesus
636,Piso,Alquiler,Tarragona,181,1161477,07/05/2005,Maria
637,Parking,Alquiler,Barcelona,95,938030,03/06/2005,Maria
638,Casa,Venta,Tarragona,116,915704,27/01/2005,Maria
639,Piso,Alquiler,Girona,277,2646181,04/07/2005,Carmen
640,Industrial,Alquiler,Tarragona,182,1243060,16/07/2005,Maria
641,Oficina,Venta,Girona,249,2306238,02/03/2005,Maria
642,Industrial,Venta,Girona,119,711382,01/08/2005,Luisa
643,Industrial,Alquiler,Lleida,255,2338095,10/08/2005,Carmen
644,Industrial,Alquiler,Tarragona,164,1162104,10/05/2005,Pedro
645,Industrial,Venta,Tarragona,227,1917696,22/02/2005,Joaquin
646,Parking,Alquiler,Lleida,168,1192800,14/07/2005,Joaquin
647,Piso,Venta,Barcelona,67,346256,18/05/2005,Luisa
648,Oficina,Venta,Girona,267,1153173,28/03/2005,Pedro
649,Piso,Alquiler,Lleida,46,386354,04/05/2005,Pedro
650,Parking,Venta,Lleida,80,777360,21/04/2005,Carmen
651,Piso,Venta,Girona,207,1015956,17/06/2005,Jesus
652,Oficina,Alquiler,Girona,259,1080548,31/12/2004,Maria
653,Piso,Venta,Tarragona,147,730149,25/12/2004,Carmen
654,Oficina,Alquiler,Girona,207,1953873,10/06/2005,Luisa
655,Oficina,Venta,Girona,293,2787016,23/03/2005,Luisa
656,Oficina,Venta,Tarragona,252,1773072,01/04/2005,Luisa
657,Casa,Venta,Lleida,284,1589832,28/02/2005,Luisa
658,Parking,Venta,Tarragona,286,1442870,09/08/2005,Pedro
659,Casa,Alquiler,Barcelona,72,500400,22/01/2005,Maria
660,Piso,Venta,Tarragona,176,1003552,05/08/2005,Carmen
661,Local,Venta,Girona,278,1730550,09/12/2004,Maria
662,Parking,Alquiler,Girona,254,1963166,27/07/2005,Joaquin
663,Local,Alquiler,Barcelona,47,463843,19/02/2005,Joaquin
664,Local,Alquiler,Girona,252,2057832,14/03/2005,Luisa
665,Local,Alquiler,Girona,163,1520627,20/04/2005,Pedro
666,Suelo,Venta,Lleida,271,1457980,09/05/2005,Luisa
667,Oficina,Venta,Barcelona,116,651920,09/05/2005,Maria
668,Parking,Venta,Barcelona,195,1513005,21/01/2005,Pedro
669,Parking,Venta,Tarragona,290,1747830,14/01/2005,Luisa
670,Industrial,Venta,Barcelona,289,2188597,27/04/2005,Maria
671,Suelo,Alquiler,Barcelona,235,1277930,07/04/2005,Luisa
672,Local,Alquiler,Tarragona,186,1225926,16/05/2005,Luisa
673,Industrial,Venta,Barcelona,67,479318,03/04/2005,Luisa
674,Parking,Venta,Girona,152,1392168,04/08/2005,Pedro
675,Oficina,Alquiler,Barcelona,62,329716,10/05/2005,Pedro
676,Casa,Venta,Girona,47,311563,27/12/2004,Carmen
677,Industrial,Alquiler,Tarragona,54,227178,24/01/2005,Joaquin
678,Industrial,Venta,Barcelona,225,1239300,29/01/2005,Maria
679,Suelo,Venta,Tarragona,113,1074969,16/04/2005,Joaquin
680,Piso,Alquiler,Tarragona,249,1029864,06/05/2005,Carmen
681,Industrial,Alquiler,Tarragona,284,1166104,08/04/2005,Jesus
682,Oficina,Venta,Lleida,274,1577692,11/05/2005,Joaquin
683,Piso,Alquiler,Lleida,121,1049433,07/06/2005,Jesus
684,Parking,Venta,Tarragona,247,2285244,07/03/2005,Maria
685,Piso,Venta,Girona,97,662316,27/04/2005,Carmen
686,Suelo,Alquiler,Tarragona,57,330771,05/01/2005,Maria
687,Piso,Alquiler,Lleida,240,1214880,09/04/2005,Luisa
688,Suelo,Venta,Lleida,163,688838,13/12/2004,Luisa
689,Parking,Venta,Girona,64,622144,05/07/2005,Maria
690,Parking,Alquiler,Tarragona,81,723492,10/07/2005,Joaquin
691,Casa,Alquiler,Girona,118,827062,22/03/2005,Joaquin
692,Oficina,Venta,Lleida,177,1022883,29/04/2005,Maria
693,Suelo,Venta,Barcelona,269,1722407,21/12/2004,Jesus
694,Piso,Alquiler,Lleida,88,392832,28/01/2005,Maria
695,Local,Venta,Lleida,205,1524585,02/05/2005,Pedro
696,Suelo,Alquiler,Tarragona,256,1379328,27/03/2005,Luisa
697,Local,Alquiler,Barcelona,163,1570016,04/08/2005,Carmen
698,Parking,Alquiler,Girona,187,789140,16/05/2005,Carmen
699,Suelo,Alquiler,Girona,73,542974,14/06/2005,Luisa
700,Local,Alquiler,Girona,299,1251315,20/01/2005,Luisa
701,Casa,Venta,Girona,225,2023200,27/12/2004,Joaquin
702,Piso,Alquiler,Girona,295,2553225,14/01/2005,Carmen
703,Casa,Venta,Tarragona,160,1341120,25/07/2005,Maria
704,Piso,Alquiler,Barcelona,278,2540364,12/04/2005,Carmen
705,Oficina,Alquiler,Tarragona,271,1165842,10/02/2005,Luisa
706,Piso,Alquiler,Girona,258,1501560,05/01/2005,Joaquin
707,Industrial,Venta,Girona,215,1713120,27/05/2005,Carmen
708,Industrial,Venta,Tarragona,158,1124012,03/05/2005,Pedro
709,Casa,Alquiler,Tarragona,210,1181670,13/07/2005,Jesus
710,Parking,Venta,Lleida,274,1291636,24/05/2005,Maria
711,Casa,Venta,Tarragona,289,2114035,14/12/2004,Luisa
712,Parking,Alquiler,Lleida,244,2280668,16/07/2005,Maria
713,Casa,Venta,Barcelona,73,688463,08/08/2005,Luisa
714,Casa,Alquiler,Lleida,235,2135210,14/05/2005,Pedro
715,Oficina,Alquiler,Lleida,43,329681,19/01/2005,Jesus
716,Oficina,Alquiler,Barcelona,206,1793848,03/09/2005,Luisa
717,Local,Alquiler,Tarragona,47,457498,23/02/2005,Jesus
718,Suelo,Alquiler,Girona,161,736092,26/02/2005,Maria
719,Oficina,Venta,Tarragona,283,1565839,15/06/2005,Pedro
720,Casa,Venta,Tarragona,226,2216608,09/07/2005,Luisa
721,Industrial,Venta,Tarragona,44,266596,23/04/2005,Luisa
722,Industrial,Alquiler,Girona,86,611546,10/02/2005,Carmen
723,Casa,Alquiler,Girona,54,518508,16/02/2005,Maria
724,Oficina,Alquiler,Barcelona,241,2085373,07/07/2005,Joaquin
725,Oficina,Alquiler,Barcelona,180,901980,07/02/2005,Carmen
726,Parking,Venta,Girona,112,1081360,03/05/2005,Maria
727,Suelo,Alquiler,Girona,195,1168440,30/12/2004,Luisa
728,Suelo,Venta,Barcelona,139,585746,03/05/2005,Pedro
729,Casa,Alquiler,Lleida,197,1905187,15/09/2005,Pedro
730,Parking,Alquiler,Tarragona,284,1830664,02/01/2005,Pedro
731,Casa,Venta,Girona,109,555246,10/04/2005,Joaquin
732,Suelo,Venta,Tarragona,117,652743,23/12/2004,Pedro
733,Oficina,Alquiler,Girona,164,1225244,07/08/2005,Jesus
734,Piso,Venta,Lleida,85,644470,22/06/2005,Maria
735,Oficina,Alquiler,Barcelona,89,588023,26/06/2005,Joaquin
736,Industrial,Venta,Barcelona,112,840560,29/06/2005,Pedro
737,Suelo,Alquiler,Lleida,85,780980,20/07/2005,Joaquin
738,Suelo,Alquiler,Lleida,294,1201578,31/01/2005,Luisa
739,Piso,Venta,Barcelona,250,1527750,10/02/2005,Luisa
740,Parking,Alquiler,Barcelona,254,2328418,06/01/2005,Joaquin
741,Parking,Venta,Tarragona,126,1184274,28/07/2005,Maria
742,Suelo,Venta,Barcelona,218,1330236,27/12/2004,Pedro
743,Local,Venta,Lleida,56,542864,08/09/2005,Maria
744,Casa,Venta,Barcelona,99,538065,19/06/2005,Jesus
745,Suelo,Venta,Lleida,83,445295,30/01/2005,Pedro
746,Oficina,Alquiler,Tarragona,136,761056,11/04/2005,Jesus
747,Suelo,Alquiler,Barcelona,178,1355470,24/12/2004,Maria
748,Industrial,Alquiler,Girona,228,2145480,21/06/2005,Maria
749,Local,Venta,Lleida,114,679554,16/09/2005,Pedro
750,Parking,Alquiler,Girona,294,1335936,14/07/2005,Carmen
751,Parking,Venta,Girona,132,556116,11/09/2005,Luisa
752,Local,Venta,Barcelona,182,1509872,05/08/2005,Luisa
753,Local,Venta,Lleida,67,399655,13/08/2005,Luisa
754,Piso,Alquiler,Tarragona,251,1206557,20/05/2005,Maria
755,Oficina,Venta,Tarragona,235,2202655,16/04/2005,Pedro
756,Industrial,Alquiler,Tarragona,50,308850,10/08/2005,Pedro
757,Industrial,Venta,Barcelona,42,306726,16/06/2005,Jesus
758,Piso,Venta,Barcelona,272,1535168,26/07/2005,Luisa
759,Piso,Alquiler,Tarragona,117,823680,19/01/2005,Maria
760,Casa,Alquiler,Barcelona,299,1695330,14/07/2005,Joaquin
761,Local,Venta,Girona,50,411700,05/01/2005,Carmen
762,Parking,Venta,Barcelona,48,371712,14/08/2005,Maria
763,Piso,Alquiler,Girona,291,2411808,28/02/2005,Joaquin
764,Oficina,Alquiler,Girona,210,1122240,27/08/2005,Pedro
765,Local,Alquiler,Girona,291,2354481,26/01/2005,Carmen
766,Piso,Alquiler,Girona,204,1044480,17/04/2005,Jesus
767,Piso,Alquiler,Barcelona,95,510150,07/05/2005,Jesus
768,Piso,Venta,Girona,231,1213212,24/06/2005,Carmen
769,Casa,Venta,Barcelona,159,1162131,25/08/2005,Pedro
770,Oficina,Venta,Lleida,185,1343840,17/04/2005,Carmen
771,Industrial,Venta,Girona,44,223564,26/09/2005,Luisa
772,Suelo,Venta,Barcelona,277,1363948,02/01/2005,Jesus
773,Suelo,Venta,Lleida,59,484744,27/05/2005,Joaquin
774,Local,Alquiler,Tarragona,244,2332152,05/06/2005,Joaquin
775,Local,Venta,Lleida,204,1606500,25/07/2005,Carmen
776,Parking,Venta,Lleida,76,411160,15/02/2005,Joaquin
777,Suelo,Alquiler,Tarragona,68,611796,18/06/2005,Luisa
778,Local,Alquiler,Barcelona,228,1554732,17/08/2005,Jesus
779,Local,Alquiler,Tarragona,256,1877760,14/04/2005,Maria
780,Local,Venta,Tarragona,185,1607280,28/03/2005,Carmen
781,Suelo,Alquiler,Lleida,158,1217390,27/04/2005,Luisa
782,Suelo,Venta,Girona,74,299996,02/09/2005,Maria
783,Oficina,Alquiler,Girona,219,1455693,28/01/2005,Joaquin
784,Parking,Alquiler,Tarragona,83,778706,11/09/2005,Maria
785,Casa,Alquiler,Barcelona,228,1685148,05/10/2005,Luisa
786,Parking,Venta,Lleida,224,913248,03/07/2005,Jesus
787,Casa,Venta,Barcelona,279,2064879,07/05/2005,Maria
788,Casa,Venta,Girona,92,853852,25/09/2005,Carmen
789,Piso,Venta,Barcelona,251,1781849,23/07/2005,Luisa
790,Piso,Venta,Tarragona,108,647460,10/03/2005,Luisa
791,Industrial,Venta,Girona,113,869196,28/07/2005,Jesus
792,Piso,Venta,Tarragona,292,1565120,02/10/2005,Joaquin
793,Piso,Venta,Lleida,88,507320,06/09/2005,Maria
794,Oficina,Venta,Tarragona,277,1522946,09/03/2005,Joaquin
795,Casa,Alquiler,Tarragona,74,338476,19/05/2005,Jesus
796,Casa,Alquiler,Lleida,110,950290,08/06/2005,Carmen
797,Oficina,Venta,Barcelona,255,1442280,04/05/2005,Jesus
798,Piso,Venta,Girona,222,1478742,24/09/2005,Jesus
799,Suelo,Alquiler,Tarragona,278,2209822,27/02/2005,Jesus
800,Local,Alquiler,Tarragona,67,653250,19/02/2005,Maria
801,Local,Alquiler,Tarragona,159,1323198,26/08/2005,Jesus
802,Suelo,Venta,Lleida,114,1106028,27/02/2005,Maria
803,Local,Alquiler,Tarragona,163,1115409,14/03/2005,Maria
804,Industrial,Venta,Girona,114,580032,28/03/2005,Jesus
805,Piso,Alquiler,Barcelona,243,1469178,18/02/2005,Pedro
806,Oficina,Venta,Girona,43,415552,16/01/2005,Luisa
807,Suelo,Alquiler,Tarragona,259,1891736,18/07/2005,Maria
808,Oficina,Alquiler,Girona,119,630224,09/04/2005,Joaquin
809,Casa,Venta,Tarragona,222,1292484,01/10/2005,Pedro
810,Industrial,Venta,Barcelona,51,334305,25/09/2005,Carmen
811,Industrial,Venta,Lleida,214,1805518,30/08/2005,Carmen
812,Oficina,Venta,Tarragona,236,2208252,21/04/2005,Pedro
813,Casa,Venta,Girona,138,733470,04/04/2005,Pedro
814,Oficina,Alquiler,Barcelona,192,1627200,27/01/2005,Luisa
815,Industrial,Venta,Tarragona,182,1690416,04/09/2005,Pedro
816,Parking,Alquiler,Barcelona,232,2180104,19/07/2005,Joaquin
